sku,pagepath,dsc_image_url,product_name
GE779AA04PO4JNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/07/916131/1.jpg,Men's Denim Plus Size Long Sleeve Shirt - Denim
FA203AA1HDFM6NAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/89/646414/1.jpg,2 In 1 Men's Classic Design Long Sleeve Shirt
FA203MW06GNNQNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/10/854854/1.jpg,Plain Navy-blue Longsleeve Fashion Shirts For Men
FA203AA0COZSANAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/21/321514/1.jpg,Plain Formal Long Sleeve Shirt - Sky Blue
DA476AA0G5109NAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/27/108441/1.jpg,Long Sleeve T-Shirt- Black & Grey
FA203MW0NTSMCNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/40/021284/1.jpg,Mens Dress Shirts Long Sleeve Business Shirts
FA203AA0AMS72NAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/17/859134/1.jpg,Corporate Men's Stripe Long Sleeve Shirt
FA203AA06PREWNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/11/279624/1.jpg,2 In 1 Men's Classic Design Long Sleeve Shirt
FA203AA0GCBVYNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/27/449134/1.jpg,Corporate Men's Design Long Sleeve Shirt
FA203AA0GSXP0NAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/28/223892/1.jpg,Men's Long Sleeve Vintage Shirts - A020
FA203AA1ERBTUNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/85/255842/1.jpg,Men's Classic Design Long Sleeve Shirt
FA203AA17T32ANAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/73/580482/1.jpg,Men's Classic Design Long Sleeve Shirt
FA203MW0SA484NAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/47/501284/1.jpg,Mens Dress Shirts Long Sleeve Business Shirts
FA203MW0PVMMFNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/43/466055/1.jpg,Men's 2 In 1 Plain Long-Sleeve Fitted Shirt-White And Blue
FA203MW0LDZM9NAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/35/924625/1.jpg,Men's Plus Size Long Sleeve Printed Shirt
